epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.087,1.7674,3.56403,1.52599,0.00794,0.66667,0.34196,0.27987,1.17623,3.52669,1.13581,5.716e-05,5.716e-05,5.716e-05
2,548.563,1.4442,3.00906,1.28305,0.01444,0.98148,0.595,0.3946,1.19943,3.30018,1.02869,0.000126064,0.000126064,0.000126064
3,795.35,1.36436,2.00923,1.21581,0.44127,0.81914,0.75416,0.48941,1.21795,3.00633,1.00568,0.000192138,0.000192138,0.000192138
4,1042.69,1.29791,1.68756,1.20034,1,0.15506,0.7559,0.42426,1.26822,3.05044,1.0827,0.000255382,0.000255382,0.000255382
5,1280.84,1.25473,1.4496,1.15443,0.99371,0.33333,0.75686,0.4504,1.21988,2.90121,1.10716,0.000315798,0.000315798,0.000315798
6,1506.12,1.25511,1.3152,1.1658,1,0.33135,0.66305,0.43106,1.14721,3.00583,1.1063,0.000373383,0.000373383,0.000373383
7,1734.86,1.15366,1.25639,1.16962,1,0.285,0.84003,0.5204,0.99504,2.86234,0.99825,0.00042814,0.00042814,0.00042814
8,1982.34,1.15039,1.03622,1.10698,1,0.32978,0.90021,0.6527,1.00978,2.73138,1.0078,0.000480067,0.000480067,0.000480067
9,2208.73,1.27324,1.18886,1.24195,0.99045,0.33333,0.91567,0.47139,1.38778,2.75932,1.26332,0.000529164,0.000529164,0.000529164
10,2452.2,1.17919,1.04018,1.13534,0.98304,0.33333,0.8868,0.59539,1.10462,2.26303,1.08117,0.000575433,0.000575433,0.000575433
11,2693.33,1.24056,1.02861,1.19996,0.98771,0.33333,0.89268,0.56529,1.30871,2.25848,1.21365,0.000618871,0.000618871,0.000618871
12,2916.22,1.17506,1.05638,1.17556,0.98381,0.33333,0.87341,0.34489,1.76466,2.54832,1.61016,0.000659481,0.000659481,0.000659481
13,3143.05,1.2146,1.02599,1.19299,0.98512,0.33333,0.86753,0.53763,1.44019,2.21999,1.2909,0.000697261,0.000697261,0.000697261
14,3393.02,1.12416,0.94292,1.15182,0.94048,0.5444,0.93906,0.52828,1.51255,2.04296,1.34115,0.000732211,0.000732211,0.000732211
15,3647.74,1.04038,0.87171,1.07029,0.94331,0.68839,0.97041,0.6677,1.17877,1.78928,1.11696,0.000764332,0.000764332,0.000764332
16,3905.34,1.12994,0.89092,1.15879,0.98478,0.60883,0.995,0.62916,1.30839,1.94378,1.1608,0.000793624,0.000793624,0.000793624
17,4193.18,1.19198,0.91466,1.13632,0.98538,0.72546,0.97536,0.62603,1.28058,1.76926,1.1722,0.000820086,0.000820086,0.000820086
18,4440.63,1.1589,0.99638,1.1195,0.95824,1,0.99412,0.65385,1.21242,1.35344,1.13436,0.000843719,0.000843719,0.000843719
19,4679.31,1.11087,0.88742,1.11565,0.98485,0.90791,0.9752,0.68405,1.10949,1.56951,1.07131,0.000864522,0.000864522,0.000864522
20,4914.76,1.08709,0.85967,1.11232,0.97332,0.98158,0.995,0.65044,1.26734,1.2937,1.18695,0.000882496,0.000882496,0.000882496
21,5153.92,1.10512,0.86622,1.14441,0.95418,0.91243,0.995,0.69605,1.06462,1.2297,1.04018,0.000863116,0.000863116,0.000863116
22,5385.4,1.33728,0.89616,1.29945,0.98954,0.98708,0.995,0.59445,1.45803,1.12726,1.32534,0.000834822,0.000834822,0.000834822
23,5614.56,1.12152,0.84582,1.10711,0.88765,0.99575,0.995,0.64971,1.22186,0.91763,1.17567,0.000806528,0.000806528,0.000806528
24,5843.35,1.12352,0.79808,1.11529,0.98634,0.99862,0.995,0.66274,1.26882,0.84172,1.29282,0.000778233,0.000778233,0.000778233
25,6084.69,1.16285,0.80174,1.1241,0.97843,0.99292,0.995,0.63867,1.31096,0.87686,1.20839,0.000749939,0.000749939,0.000749939
26,6320.62,1.09924,0.787,1.12184,0.97821,0.98781,0.995,0.74174,0.97964,0.73378,1.02104,0.000721645,0.000721645,0.000721645
27,6557.14,1.02092,0.85901,1.1081,0.98347,0.9981,0.995,0.73845,0.99956,0.71221,1.01459,0.000693351,0.000693351,0.000693351
28,6783.92,1.07663,0.7089,1.10148,0.98854,1,0.995,0.68113,1.19606,0.67072,1.09759,0.000665057,0.000665057,0.000665057
29,7020.03,1.04674,0.70868,1.07481,0.98592,0.99734,0.995,0.74034,1.02844,0.623,1.04819,0.000636762,0.000636762,0.000636762
30,7251.99,1.07325,0.71545,1.08398,0.97591,0.95806,0.97784,0.68961,1.06567,0.679,1.04253,0.000608468,0.000608468,0.000608468
31,7488.4,1.00467,0.67436,1.0755,0.98739,1,0.995,0.63879,1.35258,0.68882,1.18799,0.000580174,0.000580174,0.000580174
32,7719.04,1.04972,0.67419,1.07182,0.99237,1,0.995,0.76054,0.94517,0.60169,1.00816,0.00055188,0.00055188,0.00055188
33,7952.95,1.05749,0.66799,1.06994,0.99029,1,0.995,0.75027,0.97571,0.63969,1.0001,0.000523586,0.000523586,0.000523586
34,8186.42,0.95359,0.61192,1.05185,0.99318,1,0.995,0.68865,1.07584,0.59861,1.06047,0.000495291,0.000495291,0.000495291
35,8426.31,0.95547,0.61602,1.04624,0.99333,1,0.995,0.68414,1.16778,0.61173,1.07996,0.000466997,0.000466997,0.000466997
36,8665.9,1.00062,0.65607,1.10592,0.9935,1,0.995,0.70389,1.11926,0.58022,1.06135,0.000438703,0.000438703,0.000438703
37,8902.35,0.91504,0.56546,1.03106,0.99236,1,0.995,0.68205,1.18098,0.57503,1.09999,0.000410409,0.000410409,0.000410409
38,9137.86,0.97098,0.59339,1.04567,0.98963,1,0.995,0.6493,1.23559,0.60526,1.15102,0.000382115,0.000382115,0.000382115
39,9368.81,0.91038,0.55677,1.03278,0.99047,1,0.995,0.63556,1.29004,0.59648,1.19097,0.00035382,0.00035382,0.00035382
40,9597.03,0.86222,0.55965,1.0437,0.99005,1,0.995,0.6645,1.25895,0.59545,1.13057,0.000325526,0.000325526,0.000325526
41,9817.92,1.06729,0.58407,1.09505,0.98925,1,0.995,0.61287,1.3499,0.64859,1.18754,0.000297232,0.000297232,0.000297232
42,10048.8,0.94879,0.57718,1.02252,0.99124,1,0.995,0.76129,0.94935,0.54197,0.97959,0.000268938,0.000268938,0.000268938
43,10269.8,0.97829,0.54619,1.06947,0.99141,1,0.995,0.76107,0.93604,0.52025,0.97676,0.000240644,0.000240644,0.000240644
44,10486.7,0.9661,0.5324,1.05142,0.99182,1,0.995,0.76607,0.8954,0.50724,0.95619,0.000212349,0.000212349,0.000212349
45,10711.1,0.89817,0.53175,1.02117,0.99278,1,0.995,0.76759,0.92521,0.49967,0.97417,0.000184055,0.000184055,0.000184055
46,10927.3,0.93451,0.51077,1.0946,0.992,1,0.995,0.75797,0.92699,0.48797,0.97499,0.000155761,0.000155761,0.000155761
47,11138.5,0.92352,0.52732,1.00062,0.99172,1,0.995,0.75345,0.95705,0.49417,0.98374,0.000127467,0.000127467,0.000127467
48,11340.4,0.85726,0.4989,1.00798,0.99236,1,0.995,0.76933,0.88605,0.47685,0.959,9.91726e-05,9.91726e-05,9.91726e-05
49,11567.3,0.86268,0.53614,1.02319,0.99234,1,0.995,0.7841,0.82989,0.44812,0.94656,7.08784e-05,7.08784e-05,7.08784e-05
50,11838,0.86166,0.53811,0.98788,0.99184,1,0.995,0.78615,0.83408,0.43805,0.94873,4.25842e-05,4.25842e-05,4.25842e-05
